[02-18 00:51] === Binance V3 启动 ===
[02-18 00:51] 原则: 均线多头+回调企稳 | 严格止损2%
[02-18 00:51] BTCUSDT: 价格$67,394 | MA20=68,978 | MA50=68,469 | 信号: None
[02-18 06:02] ETHUSDT: 价格$1,993 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 06:07] BTCUSDT: 价格$67,690 | MA20=68,738 | MA50=68,409 | 信号: None
[02-18 06:07] ETHUSDT: 价格$1,993 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 06:12] BTCUSDT: 价格$67,755 | MA20=68,741 | MA50=68,410 | 信号: None
[02-18 06:12] ETHUSDT: 价格$1,998 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 06:17] BTCUSDT: 价格$67,832 | MA20=68,745 | MA50=68,412 | 信号: None
[02-18 06:17] ETHUSDT: 价格$2,000 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 06:22] BTCUSDT: 价格$67,660 | MA20=68,736 | MA50=68,408 | 信号: None
[02-18 06:22] ETHUSDT: 价格$1,996 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 06:27] BTCUSDT: 价格$67,627 | MA20=68,735 | MA50=68,408 | 信号: None
[02-18 06:27] ETHUSDT: 价格$1,996 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 06:32] BTCUSDT: 价格$67,549 | MA20=68,731 | MA50=68,406 | 信号: None
[02-18 06:32] ETHUSDT: 价格$1,994 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 06:37] BTCUSDT: 价格$67,562 | MA20=68,732 | MA50=68,407 | 信号: None
[02-18 06:37] ETHUSDT: 价格$1,994 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 06:42] BTCUSDT: 价格$67,608 | MA20=68,734 | MA50=68,407 | 信号: None
[02-18 06:42] ETHUSDT: 价格$1,998 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 06:47] BTCUSDT: 价格$67,595 | MA20=68,733 | MA50=68,407 | 信号: None
[02-18 06:47] ETHUSDT: 价格$1,997 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 06:52] BTCUSDT: 价格$67,629 | MA20=68,735 | MA50=68,408 | 信号: None
[02-18 06:52] ETHUSDT: 价格$1,997 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 06:57] BTCUSDT: 价格$67,666 | MA20=68,737 | MA50=68,409 | 信号: None
[02-18 06:57] ETHUSDT: 价格$2,000 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 07:02] BTCUSDT: 价格$67,635 | MA20=68,735 | MA50=68,408 | 信号: None
[02-18 07:02] ETHUSDT: 价格$1,998 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 07:07] BTCUSDT: 价格$67,558 | MA20=68,731 | MA50=68,406 | 信号: None
[02-18 07:07] ETHUSDT: 价格$1,998 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 07:12] BTCUSDT: 价格$67,584 | MA20=68,733 | MA50=68,407 | 信号: None
[02-18 07:12] ETHUSDT: 价格$1,999 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 07:17] BTCUSDT: 价格$67,555 | MA20=68,731 | MA50=68,406 | 信号: None
[02-18 07:17] ETHUSDT: 价格$1,999 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 07:22] BTCUSDT: 价格$67,614 | MA20=68,734 | MA50=68,408 | 信号: None
[02-18 07:22] ETHUSDT: 价格$1,999 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 07:27] BTCUSDT: 价格$67,660 | MA20=68,736 | MA50=68,408 | 信号: None
[02-18 07:27] ETHUSDT: 价格$1,999 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 07:32] BTCUSDT: 价格$67,730 | MA20=68,740 | MA50=68,410 | 信号: None
[02-18 07:32] ETHUSDT: 价格$2,003 | MA20=2,003 | MA50=2,004 | 信号: None
[02-18 07:37] BTCUSDT: 价格$67,780 | MA20=68,742 | MA50=68,411 | 信号: None
[02-18 07:37] ETHUSDT: 价格$2,003 | MA20=2,003 | MA50=2,004 | 信号: 做空
[02-18 07:42] BTCUSDT: 价格$67,673 | MA20=68,737 | MA50=68,409 | 信号: None
[02-18 07:42] ETHUSDT: 价格$2,000 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 07:47] BTCUSDT: 价格$67,645 | MA20=68,736 | MA50=68,408 | 信号: None
[02-18 07:47] ETHUSDT: 价格$2,001 | MA20=2,003 | MA50=2,004 | 信号: 做空
[02-18 07:52] BTCUSDT: 价格$67,603 | MA20=68,734 | MA50=68,407 | 信号: None
[02-18 07:52] ETHUSDT: 价格$1,998 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 07:57] BTCUSDT: 价格$67,528 | MA20=68,730 | MA50=68,406 | 信号: None
[02-18 07:57] ETHUSDT: 价格$1,994 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 08:02] BTCUSDT: 价格$67,463 | MA20=68,727 | MA50=68,405 | 信号: None
[02-18 08:02] ETHUSDT: 价格$1,993 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 08:07] BTCUSDT: 价格$67,540 | MA20=68,730 | MA50=68,406 | 信号: None
[02-18 08:07] ETHUSDT: 价格$1,996 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 08:12] BTCUSDT: 价格$67,431 | MA20=68,725 | MA50=68,404 | 信号: None
[02-18 08:12] ETHUSDT: 价格$1,992 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 08:17] BTCUSDT: 价格$67,557 | MA20=68,731 | MA50=68,406 | 信号: None
[02-18 08:17] ETHUSDT: 价格$1,995 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 08:22] BTCUSDT: 价格$67,612 | MA20=68,734 | MA50=68,407 | 信号: None
[02-18 08:22] ETHUSDT: 价格$1,998 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 08:27] BTCUSDT: 价格$67,546 | MA20=68,731 | MA50=68,406 | 信号: None
[02-18 08:27] ETHUSDT: 价格$1,995 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 08:32] BTCUSDT: 价格$67,438 | MA20=68,725 | MA50=68,404 | 信号: None
[02-18 08:32] ETHUSDT: 价格$1,993 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 08:37] BTCUSDT: 价格$67,508 | MA20=68,729 | MA50=68,405 | 信号: None
[02-18 08:37] ETHUSDT: 价格$1,994 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 08:42] BTCUSDT: 价格$67,496 | MA20=68,728 | MA50=68,405 | 信号: None
[02-18 08:42] ETHUSDT: 价格$1,994 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 08:47] BTCUSDT: 价格$67,523 | MA20=68,730 | MA50=68,406 | 信号: None
[02-18 08:47] ETHUSDT: 价格$1,993 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 08:52] BTCUSDT: 价格$67,585 | MA20=68,733 | MA50=68,407 | 信号: None
[02-18 08:52] ETHUSDT: 价格$1,995 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 08:57] BTCUSDT: 价格$67,539 | MA20=68,730 | MA50=68,406 | 信号: None
[02-18 08:57] ETHUSDT: 价格$1,993 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 09:02] BTCUSDT: 价格$67,569 | MA20=68,613 | MA50=68,338 | 信号: None
[02-18 09:02] ETHUSDT: 价格$1,995 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 09:07] BTCUSDT: 价格$67,566 | MA20=68,613 | MA50=68,338 | 信号: None
[02-18 09:07] ETHUSDT: 价格$1,995 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 09:12] BTCUSDT: 价格$67,607 | MA20=68,615 | MA50=68,338 | 信号: None
[02-18 09:12] ETHUSDT: 价格$1,996 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 09:17] BTCUSDT: 价格$67,540 | MA20=68,612 | MA50=68,337 | 信号: None
[02-18 09:17] ETHUSDT: 价格$1,994 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 09:22] BTCUSDT: 价格$67,600 | MA20=68,615 | MA50=68,338 | 信号: None
[02-18 09:22] ETHUSDT: 价格$1,997 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 09:27] BTCUSDT: 价格$67,448 | MA20=68,607 | MA50=68,335 | 信号: None
[02-18 09:27] ETHUSDT: 价格$1,990 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 09:32] BTCUSDT: 价格$67,555 | MA20=68,613 | MA50=68,337 | 信号: None
[02-18 09:32] ETHUSDT: 价格$1,993 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 09:37] BTCUSDT: 价格$67,578 | MA20=68,614 | MA50=68,338 | 信号: None
[02-18 09:37] ETHUSDT: 价格$1,994 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 09:42] BTCUSDT: 价格$67,517 | MA20=68,611 | MA50=68,337 | 信号: None
[02-18 09:42] ETHUSDT: 价格$1,995 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 09:47] BTCUSDT: 价格$67,346 | MA20=68,602 | MA50=68,333 | 信号: None
[02-18 09:47] ETHUSDT: 价格$1,985 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 09:52] BTCUSDT: 价格$67,326 | MA20=68,601 | MA50=68,333 | 信号: None
[02-18 09:52] ETHUSDT: 价格$1,983 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 09:57] BTCUSDT: 价格$67,340 | MA20=68,602 | MA50=68,333 | 信号: None
[02-18 09:57] ETHUSDT: 价格$1,983 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 10:02] BTCUSDT: 价格$67,296 | MA20=68,600 | MA50=68,332 | 信号: None
[02-18 10:02] ETHUSDT: 价格$1,981 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 10:07] BTCUSDT: 价格$67,150 | MA20=68,592 | MA50=68,329 | 信号: None
[02-18 10:07] ETHUSDT: 价格$1,976 | MA20=1,996 | MA50=2,001 | 信号: 做空
[02-18 10:12] BTCUSDT: 价格$67,129 | MA20=68,591 | MA50=68,329 | 信号: None
[02-18 10:12] ETHUSDT: 价格$1,974 | MA20=1,996 | MA50=2,001 | 信号: 做空
[02-18 10:17] BTCUSDT: 价格$67,168 | MA20=68,593 | MA50=68,330 | 信号: None
[02-18 10:17] ETHUSDT: 价格$1,977 | MA20=1,996 | MA50=2,001 | 信号: 做空
[02-18 10:22] BTCUSDT: 价格$67,231 | MA20=68,596 | MA50=68,331 | 信号: None
[02-18 10:22] ETHUSDT: 价格$1,978 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 10:27] BTCUSDT: 价格$67,055 | MA20=68,588 | MA50=68,327 | 信号: None
[02-18 10:27] ETHUSDT: 价格$1,974 | MA20=1,996 | MA50=2,001 | 信号: 做空
[02-18 10:32] BTCUSDT: 价格$67,059 | MA20=68,588 | MA50=68,327 | 信号: None
[02-18 10:32] ETHUSDT: 价格$1,974 | MA20=1,996 | MA50=2,001 | 信号: 做空
[02-18 10:37] BTCUSDT: 价格$66,994 | MA20=68,585 | MA50=68,326 | 信号: None
[02-18 10:37] ETHUSDT: 价格$1,971 | MA20=1,996 | MA50=2,001 | 信号: 做空
[02-18 10:42] BTCUSDT: 价格$67,107 | MA20=68,590 | MA50=68,328 | 信号: None
[02-18 10:42] ETHUSDT: 价格$1,975 | MA20=1,996 | MA50=2,001 | 信号: 做空
[02-18 10:47] BTCUSDT: 价格$67,145 | MA20=68,592 | MA50=68,329 | 信号: None
[02-18 10:47] ETHUSDT: 价格$1,978 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 10:52] BTCUSDT: 价格$67,129 | MA20=68,591 | MA50=68,329 | 信号: None
[02-18 10:52] ETHUSDT: 价格$1,978 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 10:57] BTCUSDT: 价格$67,157 | MA20=68,593 | MA50=68,329 | 信号: None
[02-18 10:57] ETHUSDT: 价格$1,977 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 11:02] BTCUSDT: 价格$67,237 | MA20=68,597 | MA50=68,331 | 信号: None
[02-18 11:02] ETHUSDT: 价格$1,983 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 11:07] BTCUSDT: 价格$67,292 | MA20=68,600 | MA50=68,332 | 信号: None
[02-18 11:07] ETHUSDT: 价格$1,986 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 11:12] BTCUSDT: 价格$67,338 | MA20=68,602 | MA50=68,333 | 信号: None
[02-18 11:12] ETHUSDT: 价格$1,988 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 11:17] BTCUSDT: 价格$67,319 | MA20=68,601 | MA50=68,333 | 信号: None
[02-18 11:17] ETHUSDT: 价格$1,987 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 11:22] BTCUSDT: 价格$67,307 | MA20=68,600 | MA50=68,332 | 信号: None
[02-18 11:22] ETHUSDT: 价格$1,987 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 11:27] BTCUSDT: 价格$67,270 | MA20=68,598 | MA50=68,332 | 信号: None
[02-18 11:27] ETHUSDT: 价格$1,986 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 11:32] BTCUSDT: 价格$67,260 | MA20=68,598 | MA50=68,331 | 信号: None
[02-18 11:32] ETHUSDT: 价格$1,985 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 11:37] BTCUSDT: 价格$67,364 | MA20=68,603 | MA50=68,333 | 信号: None
[02-18 11:37] ETHUSDT: 价格$1,990 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 11:42] BTCUSDT: 价格$67,371 | MA20=68,603 | MA50=68,334 | 信号: None
[02-18 11:42] ETHUSDT: 价格$1,991 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 11:47] BTCUSDT: 价格$67,288 | MA20=68,599 | MA50=68,332 | 信号: None
[02-18 11:47] ETHUSDT: 价格$1,988 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 11:52] BTCUSDT: 价格$67,361 | MA20=68,603 | MA50=68,333 | 信号: None
[02-18 11:52] ETHUSDT: 价格$1,990 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 11:57] BTCUSDT: 价格$67,335 | MA20=68,602 | MA50=68,333 | 信号: None
[02-18 11:57] ETHUSDT: 价格$1,988 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 12:02] BTCUSDT: 价格$67,403 | MA20=68,605 | MA50=68,334 | 信号: None
[02-18 12:02] ETHUSDT: 价格$1,989 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 12:07] BTCUSDT: 价格$67,403 | MA20=68,605 | MA50=68,334 | 信号: None
[02-18 12:07] ETHUSDT: 价格$1,988 | MA20=1,997 | MA50=2,001 | 信号: 做空
[02-18 12:12] BTCUSDT: 价格$67,404 | MA20=68,605 | MA50=68,334 | 信号: None
